pH	t/theta
8.389195442	0.001641667
8.240660667	0.003283333
8.315546036	0.004925
8.310170174	0.006566667
8.331158638	0.008208333
8.309613228	0.00985
8.322025299	0.011491667
8.307414055	0.013133333
8.335368156	0.014775
8.298112869	0.016416667
8.344286919	0.018058333
8.330345154	0.0197
8.33268261	0.021341667
8.195313454	0.022983333
8.277983666	0.024625
8.268074989	0.026266667
8.276639938	0.027908333
8.244316101	0.02955
8.241932869	0.031191667
8.228730202	0.032833333
8.234502792	0.034475
8.228466988	0.036116667
8.250927925	0.037758333
8.213011742	0.0394
8.236103058	0.041041667
8.228076935	0.042683333
8.216356278	0.044325
8.218140602	0.045966667
8.212210655	0.047608333
8.188214302	0.04925
8.163819313	0.050891667
8.180149078	0.052533333
8.17478466	0.054175
8.17328167	0.055816667
8.142075539	0.057458333
8.122158051	0.0591
8.11671257	0.060741667
8.105607033	0.062383333
8.101833344	0.064025
8.111718178	0.065666667
8.084278107	0.067308333
8.090895653	0.06895
8.072986603	0.070591667
8.096067429	0.072233333
8.051008225	0.073875
8.070250511	0.075516667
8.042228699	0.077158333
8.075594902	0.0788
8.036924362	0.080441667
8.077251434	0.082083333
8.038581848	0.083725
8.044151306	0.085366667
8.009677887	0.087008333
8.010478973	0.08865
7.99871254	0.090291667
8.006727219	0.091933333
8.004122734	0.093575
7.991113663	0.095216667
7.981514454	0.096858333
7.957187653	0.0985
7.973778725	0.100141667
7.954990387	0.101783333
7.964730263	0.103425
7.952949524	0.105066667
7.94562912	0.106708333
7.936152935	0.10835
7.952651978	0.109991667
7.932270527	0.111633333
7.948637962	0.113275
7.906770229	0.114916667
7.918167114	0.116558333
7.904887199	0.1182
7.941730499	0.119841667
7.871559143	0.121483333
7.91490078	0.123125
7.877038002	0.124766667
7.849771023	0.126408333
7.740071297	0.12805
7.828464985	0.129691667
7.821979046	0.131333333
7.856611252	0.132975
7.842212677	0.134616667
7.883075237	0.136258333
7.780130386	0.1379
7.821218967	0.139541667
7.80590725	0.141183333
7.817334175	0.142825
7.80491066	0.144466667
7.823925495	0.146108333
7.800969601	0.14775
7.813952923	0.149391667
7.773032665	0.151033333
7.77955246	0.152675
7.801482678	0.154316667
7.816899777	0.155958333
7.914111614	0.1576
7.829898357	0.159241667
7.814583302	0.160883333
7.77071476	0.162525
7.805128098	0.164166667
7.785173893	0.165808333
7.7834301	0.16745
7.754059792	0.169091667
7.775945187	0.170733333
7.751980305	0.172375
7.76074791	0.174016667
7.560444832	0.175658333
7.604255676	0.1773
7.722590447	0.178941667
7.750905514	0.180583333
7.723546982	0.182225
7.732621193	0.183866667
7.80197525	0.185508333
7.808303833	0.18715
7.75046587	0.188791667
7.702613831	0.190433333
7.506817341	0.192075
7.329014301	0.193716667
7.343202114	0.195358333
7.284499168	0.197
7.299031258	0.198641667
7.343410492	0.200283333
7.260671139	0.201925
7.31601429	0.203566667
7.267876148	0.205208333
7.274172783	0.20685
7.266452313	0.208491667
7.237044334	0.210133333
7.197793007	0.211775
7.2012496	0.213416667
7.202384949	0.215058333
7.238497257	0.2167
7.221243382	0.218341667
7.267786503	0.219983333
7.125001907	0.221625
7.112635613	0.223266667
7.233276844	0.224908333
7.243623257	0.22655
7.309350491	0.228191667
7.22815752	0.229833333
7.214794159	0.231475
7.235868454	0.233116667
7.237494469	0.234758333
7.210752964	0.2364
7.227738857	0.238041667
7.195536137	0.239683333
7.239512444	0.241325
7.189194679	0.242966667
7.198728561	0.244608333
7.20231247	0.24625
7.198746204	0.247891667
7.159413815	0.249533333
7.283009052	0.251175
7.170395374	0.252816667
7.179449081	0.254458333
7.185224533	0.2561
7.208368778	0.257741667
7.189933777	0.259383333
7.172174931	0.261025
7.175726414	0.262666667
7.174310207	0.264308333
7.194374085	0.26595
7.115866184	0.267591667
7.173316479	0.269233333
7.112986088	0.270875
7.120475769	0.272516667
7.11897707	0.274158333
7.14909792	0.2758
7.135760307	0.277441667
7.151890278	0.279083333
7.102453232	0.280725
7.077337265	0.282366667
7.095876217	0.284008333
7.141970158	0.28565
7.06050539	0.287291667
7.11003685	0.288933333
7.065380573	0.290575
7.06806469	0.292216667
6.997318268	0.293858333
7.062882423	0.2955
7.295917034	0.297141667
7.173271656	0.298783333
7.042559624	0.300425
7.079825878	0.302066667
7.068085671	0.303708333
7.059444428	0.30535
7.017157078	0.306991667
7.054751396	0.308633333
7.094142914	0.310275
7.119373798	0.311916667
7.042764187	0.313558333
7.046900749	0.3152
7.073978424	0.316841667
7.031092644	0.318483333
7.015129089	0.320125
7.076079369	0.321766667
7.048577786	0.323408333
7.022587776	0.32505
7.040703297	0.326691667
7.014381886	0.328333333
7.091127873	0.329975
7.019237995	0.331616667
7.044117928	0.333258333
7.009296417	0.3349
7.040280819	0.336541667
7.009171009	0.338183333
7.042686462	0.339825
6.999648094	0.341466667
7.018307686	0.343108333
6.979123116	0.34475
7.01368475	0.346391667
6.98756361	0.348033333
6.997054577	0.349675
6.969780445	0.351316667
7.003242493	0.352958333
6.985898972	0.3546
6.986988545	0.356241667
6.94626379	0.357883333
6.955399036	0.359525
6.976440907	0.361166667
6.986540318	0.362808333
6.953274727	0.36445
6.961049557	0.366091667
6.976362705	0.367733333
6.955808163	0.369375
6.946266651	0.371016667
6.952035427	0.372658333
6.958828449	0.3743
6.951829433	0.375941667
6.959212303	0.377583333
6.942295075	0.379225
6.94839859	0.380866667
6.929872036	0.382508333
6.941144943	0.38415
6.918828487	0.385791667
6.94119072	0.387433333
6.911085606	0.389075
6.928103447	0.390716667
6.898050785	0.392358333
6.945467472	0.394
6.928255081	0.395641667
6.957476616	0.397283333
6.923802376	0.398925
6.942791462	0.400566667
6.910843372	0.402208333
6.926127911	0.40385
6.911211491	0.405491667
6.941391468	0.407133333
6.924602509	0.408775
6.937996388	0.410416667
6.926387787	0.412058333
6.922350407	0.4137
6.909202576	0.415341667
6.921845913	0.416983333
6.919323444	0.418625
6.906894684	0.420266667
6.904588223	0.421908333
6.888947487	0.42355
6.906309605	0.425191667
6.899384499	0.426833333
6.900272846	0.428475
6.895496368	0.430116667
6.906358719	0.431758333
6.874470711	0.4334
6.902854443	0.435041667
6.889988899	0.436683333
6.883255005	0.438325
6.881634712	0.439966667
6.845264912	0.441608333
6.816756249	0.44325
6.811885834	0.444891667
6.882221222	0.446533333
6.830343247	0.448175
6.85853672	0.449816667
6.850037098	0.451458333
6.856348991	0.4531
6.838188171	0.454741667
6.839931488	0.456383333
6.826714993	0.458025
6.844921589	0.459666667
6.845908642	0.461308333
6.851962566	0.46295
6.829086304	0.464591667
6.84205389	0.466233333
6.819177151	0.467875
6.840485573	0.469516667
6.8445611	0.471158333
6.821879387	0.4728
6.833950996	0.474441667
6.830895424	0.476083333
6.830768585	0.477725
6.805886269	0.479366667
6.773017883	0.481008333
6.783727646	0.48265
6.798514366	0.484291667
6.778219223	0.485933333
6.727702141	0.487575
6.725058556	0.489216667
6.801147938	0.490858333
6.799432755	0.4925
6.770899773	0.494141667
6.789476872	0.495783333
6.775474072	0.497425
6.734766007	0.499066667
6.763258934	0.500708333
6.749289513	0.50235
6.77308321	0.503991667
6.740728378	0.505633333
6.748351097	0.507275
6.742552757	0.508916667
6.750985146	0.510558333
6.736722946	0.5122
6.75363636	0.513841667
6.738170147	0.515483333
6.748774529	0.517125
6.733590603	0.518766667
6.734303951	0.520408333
6.723557949	0.52205
6.745353222	0.523691667
6.742376804	0.525333333
6.746490955	0.526975
6.743416309	0.528616667
6.740837574	0.530258333
6.756185532	0.5319
6.733012199	0.533541667
6.733676434	0.535183333
6.702581883	0.536825
6.721118927	0.538466667
6.689063072	0.540108333
6.71133709	0.54175
6.697795391	0.543391667
6.73784399	0.545033333
6.72294569	0.546675
6.754861832	0.548316667
6.705046654	0.549958333
6.74618578	0.5516
6.692296028	0.553241667
6.718248367	0.554883333
6.688052654	0.556525
6.728966236	0.558166667
6.72068882	0.559808333
6.65525198	0.56145
6.569592953	0.563091667
6.58913374	0.564733333
6.571335793	0.566375
6.578147888	0.568016667
6.542176247	0.569658333
6.556250095	0.5713
6.539615631	0.572941667
6.564257622	0.574583333
6.564251423	0.576225
6.561591148	0.577866667
6.542404652	0.579508333
6.544084549	0.58115
6.544275761	0.582791667
6.55343008	0.584433333
6.553394318	0.586075
6.557517052	0.587716667
6.548755169	0.589358333
6.54335022	0.591
6.537003994	0.592641667
6.546367168	0.594283333
6.536268711	0.595925
6.534626007	0.597566667
6.531993866	0.599208333
6.541820049	0.60085
6.528539181	0.602491667
6.520839691	0.604133333
6.526618481	0.605775
6.51594162	0.607416667
6.513219833	0.609058333
6.504614353	0.6107
6.513454437	0.612341667
6.499226093	0.613983333
6.507653236	0.615625
6.498907089	0.617266667
6.551684856	0.618908333
6.590763569	0.62055
6.628763676	0.622191667
6.646757126	0.623833333
6.650466919	0.625475
6.634452343	0.627116667
6.647405148	0.628758333
6.647096157	0.6304
6.630148888	0.632041667
6.631205559	0.633683333
6.612373352	0.635325
6.615028858	0.636966667
6.589777947	0.638608333
6.62679863	0.64025
6.589260578	0.641891667
6.620385647	0.643533333
6.593734741	0.645175
6.619125843	0.646816667
6.594818592	0.648458333
6.616820335	0.6501
6.628457546	0.651741667
6.605901718	0.653383333
6.593366146	0.655025
6.627503395	0.656666667
6.571516514	0.658308333
6.633285046	0.65995
6.59061861	0.661591667
6.616046429	0.663233333
6.562545776	0.664875
6.592452049	0.666516667
6.581487179	0.668158333
6.591383934	0.6698
6.567548275	0.671441667
6.589044094	0.673083333
6.569867134	0.674725
6.566210747	0.676366667
6.551109791	0.678008333
6.546731472	0.67965
6.532651424	0.681291667
6.565220833	0.682933333
6.585437775	0.684575
6.585110188	0.686216667
6.568887234	0.687858333
6.566499233	0.6895
6.547225952	0.691141667
6.57531786	0.692783333
6.538200378	0.694425
6.550107956	0.696066667
6.513759136	0.697708333
6.552667618	0.69935
6.549295902	0.700991667
6.55154562	0.702633333
6.4808321	0.704275
6.53212738	0.705916667
6.503063202	0.707558333
6.514547825	0.7092
6.499475479	0.710841667
6.537482262	0.712483333
6.535888672	0.714125
6.567387104	0.715766667
6.515147686	0.717408333
6.517700672	0.71905
6.500481606	0.720691667
6.530212402	0.722333333
6.493113518	0.723975
6.498169422	0.725616667
6.462750435	0.727258333
6.511208057	0.7289
6.507020474	0.730541667
6.488799572	0.732183333
6.482587814	0.733825
6.487287521	0.735466667
6.492976666	0.737108333
6.480618	0.73875
6.4709692	0.740391667
6.477239132	0.742033333
6.506081104	0.743675
6.473105431	0.745316667
6.490814209	0.746958333
6.46220398	0.7486
6.474683762	0.750241667
6.460085869	0.751883333
6.49667263	0.753525
6.437840462	0.755166667
6.450090885	0.756808333
6.431916714	0.75845
6.498222351	0.760091667
6.454189777	0.761733333
6.482774735	0.763375
6.441642761	0.765016667
6.458689213	0.766658333
6.427448273	0.7683
6.454055309	0.769941667
6.423082829	0.771583333
6.468496323	0.773225
6.439751625	0.774866667
6.469407558	0.776508333
6.441610336	0.77815
6.433374882	0.779791667
6.405423641	0.781433333
6.415627003	0.783075
6.418533325	0.784716667
6.429124832	0.786358333
6.435050964	0.788
6.402900219	0.789641667
6.407145977	0.791283333
6.394329548	0.792925
6.403704643	0.794566667
6.376961708	0.796208333
6.389147282	0.79785
6.394854546	0.799491667
6.412029743	0.801133333
6.380277157	0.802775
6.397025585	0.804416667
6.386301518	0.806058333
6.417008877	0.8077
6.356964588	0.809341667
6.386056423	0.810983333
6.36862278	0.812625
6.39629364	0.814266667
6.357872486	0.815908333
6.369921207	0.81755
6.362874508	0.819191667
6.382675648	0.820833333
6.350905418	0.822475
6.392214775	0.824116667
6.366720676	0.825758333
6.387504578	0.8274
6.347105503	0.829041667
6.354065895	0.830683333
6.342289925	0.832325
6.338821888	0.833966667
6.329036713	0.835608333
6.341266632	0.83725
6.334280491	0.838891667
6.335587025	0.840533333
6.31565094	0.842175
6.335220337	0.843816667
6.340491772	0.845458333
6.309581757	0.8471
6.322855473	0.848741667
6.346876144	0.850383333
6.356656551	0.852025
6.323658466	0.853666667
6.315576077	0.855308333
6.296896935	0.85695
6.341668606	0.858591667
6.2987957	0.860233333
6.319526672	0.861875
6.289355755	0.863516667
6.334491253	0.865158333
6.307450771	0.8668
6.319288731	0.868441667
6.298810005	0.870083333
6.309385777	0.871725
6.269486904	0.873366667
6.296175957	0.875008333
6.266476154	0.87665
6.302223206	0.878291667
6.272428989	0.879933333
6.291033268	0.881575
6.25592947	0.883216667
6.305051327	0.884858333
6.265477657	0.8865
6.268427372	0.888141667
6.259426117	0.889783333
6.27529335	0.891425
6.249134541	0.893066667
6.258775711	0.894708333
6.249875069	0.89635
6.267516613	0.897991667
6.219460487	0.899633333
6.224335194	0.901275
6.238013268	0.902916667
6.257092476	0.904558333
6.271976471	0.9062
6.243438721	0.907841667
6.281495094	0.909483333
6.210279465	0.911125
6.2291646	0.912766667
6.203039169	0.914408333
6.231230736	0.91605
6.204868794	0.917691667
6.254971981	0.919333333
6.194694042	0.920975
6.22988224	0.922616667
6.198000431	0.924258333
6.234036923	0.9259
6.195769787	0.927541667
6.296170712	0.929183333
6.221842289	0.930825
6.259360313	0.932466667
6.189147472	0.934108333
6.192547798	0.93575
6.195627213	0.937391667
6.234654903	0.939033333
6.196314812	0.940675
6.201841354	0.942316667
6.177165031	0.943958333
6.199883461	0.9456
6.201332092	0.947241667
6.214696884	0.948883333
6.216005325	0.950525
6.213974953	0.952166667
6.200535774	0.953808333
6.197862625	0.95545
6.189483643	0.957091667
6.202064991	0.958733333
6.209653378	0.960375
6.170223236	0.962016667
6.179589272	0.963658333
6.133975506	0.9653
6.153104305	0.966941667
6.099461556	0.968583333
6.070828438	0.970225
6.137773991	0.971866667
6.068362236	0.973508333
6.082090855	0.97515
6.06212759	0.976791667
6.054914951	0.978433333
6.115925789	0.980075
6.10414362	0.981716667
6.06537199	0.983358333
6.03734827	0.985
6.082353115	0.986641667
6.069514751	0.988283333
6.066868782	0.989925
6.055872917	0.991566667
6.120880127	0.993208333
6.051755905	0.99485
6.088271141	0.996491667
6.060114861	0.998133333
6.088318825	0.999775
6.069420338	1.001416667
6.065429211	1.003058333
6.077101708	1.0047
6.071002007	1.006341667
6.072741509	1.007983333
6.087257385	1.009625
6.082282543	1.011266667
6.039783955	1.012908333
6.078014851	1.01455
6.040546894	1.016191667
6.064869881	1.017833333
6.067614079	1.019475
6.089394569	1.021116667
6.055330753	1.022758333
6.078337669	1.0244
6.024865627	1.026041667
6.068074703	1.027683333
6.05961895	1.029325
6.066720963	1.030966667
6.031635284	1.032608333
6.050562859	1.03425
6.024454117	1.035891667
6.045920849	1.037533333
6.025520802	1.039175
6.060054302	1.040816667
6.007169724	1.042458333
6.037572861	1.0441
6.017166138	1.045741667
6.05923605	1.047383333
6.016150951	1.049025
5.980256081	1.050666667
5.996153832	1.052308333
6.019203663	1.05395
6.004114628	1.055591667
6.006355286	1.057233333
6.014214993	1.058875
5.995393276	1.060516667
5.999238491	1.062158333
6.004479885	1.0638
5.999583721	1.065441667
5.976094246	1.067083333
5.993359566	1.068725
5.964643002	1.070366667
5.972854137	1.072008333
5.993955612	1.07365
6.00403595	1.075291667
5.961335182	1.076933333
5.994885445	1.078575
5.938454628	1.080216667
5.975364685	1.081858333
5.931107521	1.0835
5.948780537	1.085141667
5.920961857	1.086783333
5.981058121	1.088425
5.924920082	1.090066667
5.968087196	1.091708333
5.911978245	1.09335
5.910274506	1.094991667
5.895692349	1.096633333
5.934595585	1.098275
5.926151753	1.099916667
5.952775478	1.101558333
5.898967743	1.1032
5.9357481	1.104841667
5.883150101	1.106483333
5.920046806	1.108125
5.894770145	1.109766667
5.942651749	1.111408333
5.922907352	1.11305
5.924682617	1.114691667
5.911565304	1.116333333
5.920680523	1.117975
5.904290199	1.119616667
5.891227245	1.121258333
5.883127213	1.1229
5.884767532	1.124541667
5.90531683	1.126183333
5.877655983	1.127825
5.860855103	1.129466667
5.84397316	1.131108333
5.865831375	1.13275
5.797084808	1.134391667
5.805016995	1.136033333
5.813432217	1.137675
5.860340118	1.139316667
5.828506947	1.140958333
5.863317967	1.1426
5.827325821	1.144241667
5.857919216	1.145883333
5.792036057	1.147525
5.827665329	1.149166667
5.790055752	1.150808333
5.851820469	1.15245
5.803617477	1.154091667
5.817533016	1.155733333
5.797971726	1.157375
5.832269192	1.159016667
5.774472714	1.160658333
5.82895565	1.1623
5.799921989	1.163941667
5.81637001	1.165583333
5.807507992	1.167225
5.805263996	1.168866667
5.805728912	1.170508333
5.776065826	1.17215
5.786157608	1.173791667
5.765223503	1.175433333
5.755106926	1.177075
5.764275074	1.178716667
5.768619537	1.180358333
5.736858368	1.182
5.778460026	1.183641667
5.69707489	1.185283333
5.723373413	1.186925
5.712114811	1.188566667
5.705805302	1.190208333
5.694773674	1.19185
5.730834484	1.193491667
5.699531555	1.195133333
5.748672009	1.196775
5.678925514	1.198416667
5.706574917	1.200058333
5.645113945	1.2017
5.717699528	1.203341667
5.659745693	1.204983333
5.703891754	1.206625
5.673360348	1.208266667
